word,weight
防控,24.99536670304981
疫情,22.672677272856532
发展,7.177819332318993
新春,5.554547769887388
时代,5.413962356935745
基层,5.148811515114272
经济,4.502659453449543
峥嵘岁月,4.0
回家,3.949151335717377
召开,3.7491344961229562
总书记,3.5362730767264665
力量,3.519582673439282
群众,3.5111535585199958
工作,3.2675111702567596
文化,3.135850094590694
生活,3.076457896224648
社区,3.0742463984127792
创新,3.0657054118325036
总统,3.026644973375928
温暖,2.7705769624576515
全面,2.763389488923111
国务院,2.7632759486502745
应收,2.6699674884350597
制度,2.651071755419928
奋战,2.636206558864073
使命,2.477748851711376
抗疫,2.4769827554930317
科学,2.4432422901272695
武汉,2.404366677216369
初心,2.3572342916976647
合作,2.3489426789547063
打赢,2.289206122418803
驰援,2.255254365996126
抓好,2.2335044518820144
助力,2.1916555873802954
凝聚,2.1735057461123075
治理,2.1703639036418605
主持,2.1218262463760187
举行,2.1000974043062963
做好,2.098307418700862
大使,2.0800049374422875
英雄,2.034035038517997
社会,2.0319848793468847
现场,2.0
建议,2.0
脱贫,1.9975461123078904
汇聚,1.956354447721715
书写,1.9555469291122425
众志成城,1.9431457247503812
战胜,1.8691017909591956
信心,1.8664342804753742
乡村,1.8358478423855216
阻击战,1.8135868097846437
医务人员,1.8088018267688406
精神,1.8045792320265017
战斗,1.769460121411172
特色,1.7580452989508166
提供,1.7440664863289168
城市,1.727152399773305
新年,1.7044555420798644
尽收,1.6886488948000224
权威,1.6866041142058217
会见,1.6842899894000896
小康,1.6752736097069287
构筑,1.6631286999033756
发布,1.6574464140749388
寻找,1.6256318446442461
革命,1.6199393713256192
大家,1.6161167593113503
联控,1.6152470981986173
任免,1.6115505935174141
保障,1.582222765903211
优势,1.5692554174009392
缅甸,1.5659793127687776
评论员,1.5530721837648573
病例,1.5356902284593437
春运,1.5349896473449474
故事,1.5185796273459427
高质量,1.517113351598327
主席,1.5010911690295763
生命,1.4799378778328787
彰显,1.4729785424424777
有序,1.4649516600714423
时间,1.4618315330694858
美丽,1.4563619775451315
金台,1.4464371899123076
攻坚,1.4433287638601289
历史,1.4408851585862252
携手,1.4330505163208402
随感,1.415525398002011
思想,1.4134894062894767
大地,1.3958144897238753
迎新春,1.3853034857645121
学习,1.352125354058292
会议,1.347330304087069
守护,1.335840749490993
火树银花,1.3333333333333333
全国政协,1.332128151359659
世界,1.2841718729402904
责任,1.2825505002077628
同志,1.2770643638571484
推动,1.2751365312147125
复工,1.2725783164568034
决胜,1.271653492194651
纵横,1.2710832391975273
建设,1.2688211306145103
底气,1.2656994682885503
抓细,1.263568194299524
教育,1.255510563710084
赛跑,1.2464218319687559
违纪,1.2425375034086497
加油,1.2422777761039956
医院,1.2404429010847768
向前,1.2388242173079727
防疫,1.235110179234461
记录,1.2282632667004443
见证,1.2153491675719286
奋斗,1.2139568195964454
时艰,1.2078077039613462
人心,1.2059839168206161
干部,1.1897397543761699
确诊,1.1761311606729197
总理,1.1577595651904686
事业,1.1534395429371032
牢记,1.1505528533381064
中华人民共和国,1.1474341118988542
法治,1.1347865286543322
只争朝夕,1.131782821246685
患难见真情,1.1313354126987212
物资,1.121032592182305
国际,1.1194090082958414
支援,1.1089395149427987
本色,1.1082255058325234
英勇,1.1078912064998656
企业,1.0987153598147081
人类,1.0977568800592494
防护,1.0977122448885832
文明,1.0964446919779132
晚会,1.0904261291867785
生态,1.090235794906767
科技,1.088477986515339
能量,1.0838711858829526
新增,1.0804527172453697
万众一心,1.0769170139936892
确保,1.0709676072548309
前行,1.0552124614723994
应对,1.0321091659255384
视角,1.0202563573603551
希望,1.0198708066374529
科学技术,1.0164889916551907
胜利,1.0163835354403885
创造,1.009227652884606
大集,1.0
腊月,1.0
古城,1.0
雪趣,1.0
预告,1.0
心声,1.0
旅行,1.0
音乐会,1.0
营村,1.0
敦煌,1.0
逝世,1.0
花卉,1.0
澳门,1.0
感动,1.0
能源动力,1.0
同治,1.0
浏阳河,1.0
幽兰,1.0
拜年,1.0
谢谢,1.0
冰火,1.0
加班加点,1.0
保护,0.9956558404702978
引领,0.9867924338006883
开放,0.9811099808215841
潮头,0.9729716486488419
相聚,0.9627919323345351
互利,0.9549687345565272
一方有难,0.946421831968756
扶贫,0.930260580968982
肺炎,0.9136488900250379
